id,name,season,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
669467,Andre Pallante,2026,27,6,6,42,27,14,6,0,4,26,14,0,27,2,.221,122,.312,.369,.681,0,4,1.000,.000,1,539,3.73,31.1,3,2,0,0,0,0,13,1.31,138,94,6,0,0,327,.610,2,0,1,0,45,1.56,.600,17.20,0,1.86,7.47,4.02,7.76,4.02,1.15,0,0,0,0,0
670167,John Schreiber,2019,25,13,0,7,12,9,1,0,3,19,4,0,16,1,.296,54,.356,.481,.837,0,0,.---,.---,1,251,6.23,13.0,2,0,0,1,1,1,9,1.54,59,39,13,0,0,160,.640,1,0,1,0,26,0.58,1.000,19.31,3,4.75,13.15,2.77,11.08,6.23,2.08,9,2,0,0,0
670167,John Schreiber,2020,26,15,0,11,21,11,6,0,2,14,4,1,19,1,.297,64,.343,.484,.827,0,0,.---,.---,0,281,6.32,15.2,0,1,0,1,1,1,11,1.47,70,47,15,0,0,180,.640,1,0,0,0,31,0.52,.000,17.94,2,3.50,8.04,2.30,10.91,6.32,1.15,14,8,0,0,1
670167,John Schreiber,2021,27,1,0,2,1,1,2,0,0,5,1,0,4,0,.333,12,.385,.500,.885,0,0,.---,.---,1,56,3.00,3.0,0,0,0,0,0,0,1,1.67,13,9,1,0,0,35,.630,0,0,0,0,6,2.00,.---,18.67,0,5.00,15.00,3.00,12.00,3.00,0.00,1,1,0,0,0
670167,John Schreiber,2022,28,64,0,70,45,19,14,2,3,74,19,0,45,4,.195,231,.266,.312,.578,2,1,.333,.667,6,1020,2.22,65.0,4,4,8,11,22,3,16,0.98,257,195,64,0,0,646,.630,4,0,4,1,72,1.56,.500,15.69,13,3.89,10.25,2.63,6.23,2.63,0.42,45,14,0,1,2
670167,John Schreiber,2023,29,46,2,35,46,22,8,1,6,53,25,2,41,4,.237,173,.343,.399,.742,0,0,.---,.---,4,822,3.86,46.2,2,1,1,3,10,2,20,1.41,204,140,46,0,0,515,.630,4,0,1,0,69,0.76,.667,17.61,6,2.12,10.22,4.82,7.91,4.24,1.16,14,7,0,0,2
670167,John Schreiber,2024,30,59,0,54,52,23,10,1,1,46,20,1,48,4,.242,198,.321,.318,.639,0,1,1.000,.000,7,895,3.66,51.2,4,3,2,5,23,3,21,1.32,224,155,59,0,0,557,.620,4,0,1,0,63,1.04,.571,17.32,5,2.30,8.01,3.48,8.36,4.01,0.17,26,7,0,0,2
670167,John Schreiber,2025,31,74,0,57,69,29,12,1,10,62,19,1,57,1,.234,244,.292,.414,.706,0,0,.---,.---,4,1047,3.80,64.0,3,3,1,5,23,4,27,1.19,265,192,74,0,0,675,.640,1,0,2,0,101,0.83,.500,16.36,8,3.26,8.72,2.67,8.02,4.08,1.41,55,14,0,1,0
670167,John Schreiber,2026,32,12,0,15,9,5,2,0,2,5,6,2,9,1,.257,35,.364,.486,.850,0,1,1.000,.000,2,192,4.50,10.0,0,2,1,1,0,0,5,1.50,45,30,12,0,0,115,.600,1,0,1,0,17,1.67,.000,19.20,3,0.83,4.50,5.40,8.10,4.50,1.80,5,3,0,1,2
671096,Andrew Abbott,2023,24,21,21,59,135,47,24,1,16,120,44,0,100,1,.244,409,.316,.425,.741,4,7,.636,.364,6,1897,3.87,109.1,8,6,0,0,0,0,47,1.32,459,328,21,0,0,1191,.630,1,1,1,2,174,0.44,.571,17.35,0,2.73,9.88,3.62,8.23,3.87,1.32,0,0,0,0,5
671096,Andrew Abbott,2024,25,25,25,106,185,60,28,1,25,114,52,1,127,2,.240,529,.309,.439,.748,4,10,.714,.286,6,2333,3.72,138.0,10,10,0,0,0,0,57,1.30,586,414,25,0,0,1490,.640,2,0,5,2,232,0.57,.500,16.91,0,2.19,7.43,3.39,8.28,3.91,1.63,0,0,0,1,2
